STT,Aircraft,Aircraft_type,Flight,Aircraft_registration,Flight_route,Flight_type,Flight_purpose,Departure_airport,Arrival_airport,Flight_level,Take_off_time,Take_off_date
29,A321,M,VJC958,VNA687,R474,LD,PAX,VVNB,RJFF,310,02:11:26,30/10/2025
30,B738,M,CES5076,B-1316,R474,LD,PAX,VVNB,ZSPD,270,02:46:25,30/10/2025
31,A21N,M,CEB747,RP-C4123,W1/Q1,LD,PAX,VVNB,RPLL,360/330,03:02:20,30/10/2025
32,B738,M,AIH372,HL8319,R474,LD,CAR,VVNB,RKSI,370,03:23:12,30/10/2025
33,B738,M,KXP221,9M-KXP,N639,LD,CAR,VVNB,WMKK,380,03:42:29,30/10/2025
34,B744,H,KAL362,HL7603,R474,LD,CAR,VVNB,RKSI,370,04:24:45,30/10/2025
35,A321,M,PAL596,RP-C9926,R474,LD,PAX,VVNB,RPLL,370,04:46:28,30/10/2025
36,A20N,M,IGO1632,VT-IQL,W21,LD,PAX,VVNB,VECC,340,04:53:26,30/10/2025
37,A321,M,HVN205,VNA603,W1/Q1,ND,PAX,VVNB,VVTS,320,05:13:05,30/10/2025
38,A320,M,VJC179,VNA689,W1/Q1,ND,PAX,VVNB,VVTS,320,05:24:16,30/10/2025
39,A320,M,VJC461,VNA656,W1/Q1,ND,PAX,VVNB,VVCT,360,05:38:46,30/10/2025
40,B744,H,AIH934,HL7616,R474,LD,CAR,VVNB,ZGFS,230,05:41:22,30/10/2025
41,B763,M,AIH388,HL7507,R474,LD,CAR,VVNB,RKSI,330,05:43:55,30/10/2025
42,A321,M,HVN227,VNA335,W1/Q1,ND,PAX,VVNB,VVTS,320,05:53:22,30/10/2025
43,B748,H,GTI8244,N863GT,R474,LD,CAR,VVNB,RKSI,270,06:01:46,30/10/2025
44,A321,M,HVN1541,VNA326,W1/Q1,ND,PAX,VVNB,VVPB,280,06:08:09,30/10/2025
45,B77L,H,KAL8387,HL8226,W4,LD,CAR,VVNB,VTBS,320,06:11:26,30/10/2025
46,A321,M,VJC491,VNA685,W1/Q1,ND,PAX,VVNB,VVBM,360,06:14:45,30/10/2025
47,A321,M,VJC401,VNA684,W1/Q1,ND,PAX,VVNB,VVDL,340,06:16:55,30/10/2025
48,A321,M,VJC503,VNA640,W1/Q1,ND,PAX,VVNB,VVDN,280,06:19:32,30/10/2025
49,A321,M,VJC443,VNA642,W1/Q1/N639,ND,PAX,VVNB,VVPQ,360,06:21:56,30/10/2025
50,B744,H,GTI8523,N419MC,R474,LD,CAR,VVNB,VHHH,330,06:30:19,30/10/2025
51,A321,M,VJC421,VNA644,W1/Q1,ND,PAX,VVNB,VVPK,320,06:33:20,30/10/2025
52,A320,M,VAG635,VNA136,W1/Q1,ND,PAX,VVNB,VVDN,300,06:36:23,30/10/2025
53,A320,M,VJC952,VNA663,R474,LD,PAX,VVNB,RJOA,310,06:43:11,30/10/2025
54,B763,H,FDX6001,N122FE,W4,LD,CAR,VVNB,VTBS,320,06:46:44,30/10/2025
55,A321,M,HVN157,VNA614,W1/Q1,ND,PAX,VVNB,VVDN,280,06:49:04,30/10/2025
56,A321,M,VJC181,VNA631,W1/Q1,ND,PAX,VVNB,VVTS,320,06:59:02,30/10/2025
57,A321,M,HVN1201,VNA399,W1/Q1,ND,PAX,VVNB,VVCT,360,07:01:59,30/10/2025
58,B789,H,HVN243,VNA871,W1/Q1,ND,PAX,VVNB,VVTS,400,07:04:24,30/10/2025
59,A20N,M,HVN1573,VNA515,W1/Q1,ND,PAX,VVNB,VVDL,360,07:11:12,30/10/2025
60,A321,M,HVN1237,VNA338,Q1/N639,ND,PAX,VVNB,VVPQ,320,07:14:32,30/10/2025
61,A359,H,HVN207,VNA888,W1/Q1,ND,PAX,VVNB,VVTS,420,07:18:08,30/10/2025
62,A321,M,BAV203,VNA227,W1/Q1,ND,PAX,VVNB,VVTS,340,07:21:09,30/10/2025
63,A20N,M,HVN1641,VNA513,W1/Q1,ND,PAX,VVNB,VVCA,320,07:25:45,30/10/2025
64,A321,M,HVN1603,VNA353,W1/Q1,ND,PAX,VVNB,VVBM,360,07:27:51,30/10/2025
65,A321,M,VJC905,VNA632,W2/N639,LD,PAX,VVNB,WMKK,360,07:30:04,30/10/2025
66,A321,M,HVN852,VNA329,R474,LD,PAX,VVNB,RCKH,330,07:37:43,30/10/2025
67,A321,M,HVN1615,VNA608,W1/Q1,ND,PAX,VVNB,VVPK,320,07:40:55,30/10/2025
68,A20N,M,BAV103,VNA596,W1/Q1,ND,PAX,VVNB,VVDN,320,07:52:14,30/10/2025
69,A332,H,HKC318,B-LNX,R474,LD,CAR,VVNB,VHHH,310,08:03:54,30/10/2025
70,A21N,M,HVN163,VNA619,W1/Q1,ND,PAX,VVNB,VVDN,320,08:06:52,30/10/2025
71,A21N,M,HVN661,VNA505,W2/N639,LD,PAX,VVNB,WSSS,320/330,08:12:31,30/10/2025
72,A321,M,VJC940,VNA651,R474,LD,PAX,VVNB,RCTP,330,08:16:31,30/10/2025
73,A321,M,PIC6081,VNA363,W1/Q1,ND,PAX,VVNB,VVDN,320,08:21:13,30/10/2025
74,A20N,M,CSN372,B-32EU,R474,LD,PAX,VVNB,ZGGG,270,08:29:09,30/10/2025
75,B77L,H,QTR8955,A7-BFE,W21,LD,PAX,VVNB,OTHH,340,08:38:16,30/10/2025
76,A21N,M,VJC934,VNA545,R474,LD,PAX,VVNB,RJAA,350,08:40:20,30/10/2025
77,A21N,M,VJC771,VNA674,W1/Q1,ND,PAX,VVNB,VVCR,320,08:43:01,30/10/2025
78,A359,H,HVN384,VNA898,R474,LD,PAX,VVNB,RJTT,410,08:47:52,30/10/2025
79,FA8X,M,HAI489,VNA489,W1/Q1,ND,EXTTM,VVNB,VVDN,320,08:50:40,30/10/2025
80,A21N,M,VJC125,VNA693,W1/Q1,ND,PAX,VVNB,VVTS,360,08:52:57,30/10/2025
81,A21N,M,CEB745,RP-C4127,W1/Q1,LD,PAX,VVNB,RPLL,360/330,08:55:48,30/10/2025
82,A320,M,VJC929,VNA669,Q1/N639,LD,PAX,VVNB,WIII,360/330,08:59:31,30/10/2025
83,A321,M,VAG751,VNA289,W1/Q1,ND,PAX,VVNB,VVTS,360,09:04:25,30/10/2025
84,B789,H,QTR983,A7-BHF,W21,LD,PAX,VVNB,OTHH,380,09:08:20,30/10/2025
85,A321,M,HVN1591,VNA358,W1/Q1,ND,PAX,VVNB,VVDH,260,09:12:15,30/10/2025
86,A333,H,VJC773,VNA817,W1/Q1,ND,PAX,VVNB,VVCR,400,09:15:11,30/10/2025
87,A320,M,AXM517,9M-AQP,Q1/N639,LD,PAX,VVNB,WMKK,360,09:19:30,30/10/2025
88,B748,H,CLX7623,LX-VCD,R474,LD,CAR,VVNB,VHHH,310,09:22:19,30/10/2025
89,A321,M,VJC7007,VNA673,W21,LD,PAX,VVNB,VEGY,320,09:24:54,30/10/2025
90,A321,M,CSC3906,B-8438,R474/R471,LD,PAX,VVNB,ZUTF,330,09:27:34,30/10/2025
91,A321,M,HVN209,VNA601,W1/Q1,ND,PAX,VVNB,VVTS,360,09:31:38,30/10/2025
92,A320,M,AIQ643,HS-BBT,R474,LD,PAX,VVNB,VTBD,360,09:35:22,30/10/2025
93,B789,H,HVN779,VNA870,W1/Q1,LD,PAX,VVNB,YMML,370,09:38:28,30/10/2025
94,A321,M,HVN611,VNA602,R474,LD,PAX,VVNB,VTBS,320,09:41:46,30/10/2025
95,A321,M,PIC6015,VNA359,W1/Q1,ND,PAX,VVNB,VVTS,320,09:45:55,30/10/2025
96,A321,M,VJC2961,VNA629,W21/B214,LD,PAX,VVNB,VEGY,340,09:48:52,30/10/2025
97,A321,M,HVH921,VNA332,R474,LD,PAX,VVNB,VLVT,280,09:52:29,30/10/2025
98,A320,M,CSZ102,B-6939,R474,LD,PAX,VVNB,ZGSZ,270,09:55:17,30/10/2025
99,A21N,M,HKE541,B-KKD,R474,LD,PAX,VVNB,VHHH,310,09:57:03,30/10/2025
100,A333,H,VJC127,VNA820,W1/Q1,ND,PAX,VVNB,VVTS,400,09:59:26,30/10/2025
101,A321,M,HVN165,VNA398,W1/Q1,ND,PAX,VVNB,VVDN,280,10:11:26,30/10/2025
102,A321,M,VJC997,VNA542,W1/Q1,LD,PAX,VVNB,WADD,360/330,10:14:51,30/10/2025
103,A321,M,VJC505,VNA637,W1/Q1,ND,PAX,VVNB,VVDN,300,10:18:11,30/10/2025
104,A321,M,HVN532,VNA356,R474,LD,PAX,VVNB,ZSPD,310,10:21:03,30/10/2025
105,B739,M,BAV211,PK-BBP,W1/Q1,ND,PAX,VVNB,VVTS,320,10:26:37,30/10/2025
106,A320,M,VAG775,9H-MLW,W1/Q1,ND,PAX,VVNB,VVTS,320,10:30:08,30/10/2025
107,A320,M,THA561,HS-TXS,R474,LD,PAX,VVNB,VTBS,340,10:33:14,30/10/2025
108,A321,M,VJC149,VNA649,W1/Q1,ND,PAX,VVNB,VVTS,320,10:38:25,30/10/2025
109,A321,M,VJC567,VNA644,W1/Q1,ND,PAX,VVNB,VVPB,280,10:41:16,30/10/2025
110,B78X,H,HVN414,VNA879,R474,LD,PAX,VVNB,RKSI,370,10:53:23,30/10/2025
111,A321,M,VJC507,VNA685,W1/Q1,ND,PAX,VVNB,VVDN,280,11:02:29,30/10/2025
112,A320,M,VAG771,VNA136,W1/Q1,ND,PAX,VVNB,VVTS,320,11:05:13,30/10/2025
113,GL5T,M,B7765,B-7765,W1/Q1,LD,PAX,VVNB,WIHH,410,11:07:23,30/10/2025
114,A321,M,HVN1553,VNA611,W1/Q1,ND,PAX,VVNB,VVCR,360,11:09:55,30/10/2025
115,A320,M,VJC463,VNA656,W1/Q1,ND,PAX,VVNB,VVCT,320,11:16:40,30/10/2025
116,B77W,H,CPA740,B-KQR,R474,LD,PAX,VVNB,VHHH,310,11:22:01,30/10/2025
117,A21N,M,HVN167,VNA507,W1/Q1,ND,PAX,VVNB,VVDN,280,11:25:40,30/10/2025
118,A321,M,HVN1203,VNA605,W1/Q1,ND,PAX,VVNB,VVCT,320,11:29:27,30/10/2025
119,B789,H,HVN245,VNA861,W1/Q1,ND,PAX,VVNB,VVTS,400,11:32:19,30/10/2025
120,A321,M,HVN592,VNA614,R474,LD,PAX,VVNB,VHHH,290,11:35:51,30/10/2025
121,A20N,M,HVN1623,VNA513,W1/Q1,ND,PAX,VVNB,VVPC,320,11:38:52,30/10/2025
122,A321,M,VJC403,VNA684,W1/Q1,ND,PAX,VVNB,VVDL,360,11:42:30,30/10/2025
123,A321,M,VJC407,VNA683,W1/Q1,ND,PAX,VVNB,VVDL,300,11:48:18,30/10/2025
124,A359,H,CAL792,B-18902,R474,LD,PAX,VVNB,RCTP,350,11:54:33,30/10/2025
125,A333,H,VJC135,VNA814,W1/Q1,ND,PAX,VVNB,VVTS,380,11:58:42,30/10/2025
126,A21N,M,CSN3050,B-32MC,R474,LD,PAX,VVNB,ZGGG,310,12:01:01,30/10/2025
127,A321,M,HVN1651,VNA326,W1/Q1,ND,PAX,VVNB,VVTH,360,12:13:30,30/10/2025
128,A21N,M,HVN169,VNA619,W1/Q1,ND,PAX,VVNB,VVDN,280,12:16:47,30/10/2025
129,A20N,M,HVN1575,VNA515,W1/Q1,ND,PAX,VVNB,VVDL,320,12:18:41,30/10/2025
130,A321,M,VJC137,VNA642,W1/Q1,ND,PAX,VVNB,VVTS,360,12:26:28,30/10/2025
131,A321,M,VJC901,VNA667,R474,LD,PAX,VVNB,VTBS,340,12:41:02,30/10/2025
132,A321,M,PIC6401,VNA363,W1/Q1,ND,PAX,VVNB,VVPQ,320,12:42:47,30/10/2025
133,A21N,M,KAL442,HL8559,R474,LD,PAX,VVNB,RKSI,350,12:45:22,30/10/2025
134,B77W,H,EVA398,B-16727,R474,LD,PAX,VVNB,RCTP,350,12:51:59,30/10/2025
135,A321,M,KHV855,XU-350,Q1/N639,LD,PAX,VVNB,VDTI,320,12:55:07,30/10/2025
136,A320,M,VJC441,VNA699,Q1/N639,ND,PAX,VVNB,VVPQ,360,12:58:52,30/10/2025
137,A321,M,HVN506,VNA353,R474,LD,PAX,VVNB,ZGGG,310,13:01:28,30/10/2025
138,A359,H,SIA191,9V-SHR,W1/Q1,LD,PAX,VVNB,WSSS,360,13:05:29,30/10/2025
139,A321,M,HVN615,VNA399,R474,LD,PAX,VVNB,VTBS,360,13:09:41,30/10/2025
140,A321,M,HVN931,VNA338,R474,LD,PAX,VVNB,VLLB,280,13:12:16,30/10/2025
141,A321,M,HVN171,VNA358,W1/Q1,ND,PAX,VVNB,VVDN,280,13:14:37,30/10/2025
142,B789,H,HVN247,VNA871,W1/Q1,ND,PAX,VVNB,VVTS,360,13:16:30,30/10/2025
143,B738,M,MAS753,9M-MLO,W1/Q1,LD,PAX,VVNB,WMKK,360,13:20:20,30/10/2025
144,A321,M,CCA704,B=6942,R474,LD,PAX,VVNB,ZSPD,310,13:22:30,30/10/2025
145,A359,H,HVN251,VNA888,W1/Q1,ND,PAX,VVNB,VVTS,400,13:26:23,30/10/2025
146,A320,M,AIQ641,HS-ABZ,W121,LD,PAX,VVNB,VTBD,380,13:29:20,30/10/2025
147,A21N,M,CCA742,B-328N,R474,LD,PAX,VVNB,ZBAA,310,13:37:56,30/10/2025
148,A320,M,BAV251,JU-1410,W1/Q1,ND,PAX,VVNB,VVTS,360,13:40:49,30/10/2025
149,A321,M,VJC948,VNA687,R474,LD,PAX,VVNB,RCMQ,350,13:43:42,30/10/2025
150,A333,H,AAR730,HL7741,R474,LD,PAX,VVNB,RKSI,390,13:47:49,30/10/2025
151,B38M,M,MXD572,9M-LRS,W1/Q1,LD,PAX,VVNB,WMKK,360,13:52:11,30/10/2025
152,B744,H,CPA3248,B-LID,W1/Q1,ND,CAR,VVNB,VVTS,360,13:54:57,30/10/2025
153,A21N,M,VJC3522,VNA550,W1/Q1,LD,PAX,VVNB,VDPP,320,13:57:08,30/10/2025
154,B738,M,CSZ122,B-18711,R474,LD,PAX,VVNB,ZGGG,310,13:59:48,30/10/2025
155,A321,M,PAL594,RP-C9902,R474,LD,PAX,VVNB,EPLL,330,14:02:15,30/10/2025
156,A333,H,VJC143,VNA812,W1/Q1,ND,PAX,VVNB,VVTS,400,14:04:43,30/10/2025
157,A21N,M,HVN1559,VNA512,W1/Q1,ND,PAX,VVNB,VVCR,360,14:07:16,30/10/2025
158,A321,M,HVN253,VNA334,W1/Q1,ND,PAX,VVNB,VVTS,320,14:11:01,30/10/2025
159,A321,M,HVN1804,VNA608,W21/W4,ND,PAX,VVNB,VVDB,240,14:18:48,30/10/2025
160,A321,M,HVN213,VNA613,W1/Q1,ND,PAX,VVNB,VVTS,300,14:40:14,30/10/2025
161,A21N,M,VJC511,VNA539,W1/Q1,ND,PAX,VVNB,VVDN,280,14:43:30,30/10/2025
162,A21N,M,VJC781,VNA674,W1/Q1,ND,PAX,VVNB,VVCR,340,14:46:13,30/10/2025
163,B78X,H,HVN211,VNA877,W1/Q1,ND,PAX,VVNB,VVTS,400,14:49:01,30/10/2025
164,A321,M,VJC1491,VNA4644,W1/Q1,ND,PAX,VVNB,VVBM,320,14:51:59,30/10/2025
165,A321,M,HVN681,VNA329,W1/Q1,LD,PAX,VVNB,WMKK,320,14:55:35,30/10/2025
166,A320,M,CHB6536,B-9949,R474,LD,PAX,VVNB,ZHES,270,15:04:28,30/10/2025
167,A320,M,CSZ104,B-6720,R474,LD,PAX,VVNB,ZGSZ,310,15:07:01,30/10/2025
168,A321,M,HVN173,VNA398,W1/Q1,ND,PAX,VVNB,VVDN,280,15:10:59,30/10/2025
169,A359,H,HVN215,VNA839,W1/Q1,ND,PAX,VVNB,VVTS,360,15:13:31,30/10/2025
170,A21N,M,CES6012,B-32KD,R474,LD,PAX,VVNB,ZSPD,290,15:18:22,30/10/2025
171,B738,M,JDL2852,B-225M,R474,LD,CAR,VVNB,ZGNN,310,15:22:09,30/10/2025
172,A320,M,AXXM513,9M-AHL,W1/Q1,LD,PAX,VVNB,WMKK,360,15:28:12,30/10/2025
173,A320,M,AIQ871,HS-BBB,R474,LD,PAX,VVNB,VTCC,360,15:38:11,30/10/2025
174,B737,M,CXA870,B-5280,R474,LD,PAX,VVNB,ZSAM,350,15:46:17,30/10/2025
175,A21N,M,VJC1441,VNA538,W1/Q1,ND,PAX,VVNB,VVPQ,320,15:49:19,30/10/2025
176,B738,M,CES9606,B-5527,W22,LD,PAX,VVNB,ZPPP,340,15:54:55,30/10/2025
177,A321,M,HVN837,VNA601,Q1/N639,LD,PAX,VVNB,VDSA,340,16:00:10,30/10/2025
178,A321,M,VJC903,VNA651,R474,LD,PAX,VVNB,VTBS,340,16:06:16,30/10/2025
179,A21N,M,CSN8316,B-321Z,R474,LD,PAX,VVNB,ZGGG,290,16:11:20,30/10/2025
180,A21N,M,HVN249,VNA507,W1/Q1,ND,PAX,VVNB,VVTS,360,16:14:56,30/10/2025
181,A333,H,VJC145,VNA820,W1/Q1,ND,PAX,VVNB,VVTS,380,16:18:03,30/10/2025
182,A321,M,CSN8470,B-6659,R474,LD,PAX,VVNB,ZGSZ,310,16:20:54,30/10/2025
183,A321,M,VJC423,VNA632,W1/Q1,ND,PAX,VVNB,VVPK,320,16:24:30,30/10/2025
184,A320,M,VJC409,VNA675,W1/Q1,ND,PAX,VVNB,VVDL,380,16:27:12,30/10/2025
185,A321,M,HVN619,VNA602,R474,LD,PAX,VVNB,VTBS,360,16:31:00,30/10/2025
186,A20N,M,HVN179,VNA513,W1/Q1,ND,PAX,VVNB,VVDN,300,16:33:15,30/10/2025
187,A21N,M,HVN7563,VNA610,W1/Q1,ND,PAX,VVNB,VVCR,320,16:38:20,30/10/2025
188,A321,M,VJC433,VNA684,W1/Q1,ND,PAX,VVNB,VVPC,300,16:44:07,30/10/2025
189,A21N,M,HVN1207,VNA505,W1/Q1,ND,PAX,VVNB,VVCT,360,16:47:19,30/10/2025
190,B739,M,BAV255,PK-BBK,W1/Q1,ND,PAX,VVNB,VVTS,320,16:50:48,30/10/2025
191,A320,M,VJC515,VNA656,W1/Q1,ND,PAX,VVNB,VVDN,280,16:53:23,30/10/2025
192,A320,M,LAO312,RDPL-34199,R474,LD,PAX,VVNB,VLVT,280,16:57:57,30/10/2025
193,A321,M,VJC913,VNA683,W1/Q1,LD,PAX,VVNB,VDSA,320,17:01:27,30/10/2025
194,A21N,M,VJC7336,VNA549,R474,LD,PAX,VVNB,ZGHZ,330,17:05:11,30/10/2025
195,A321,M,HVN1563,VNA611,W1/Q1,ND,PAX,VVNB,VVCR,360,17:09:46,30/10/2025
196,A320,M,VAG889,9H-MLW,W1/Q1,ND,PAX,VVNB,VVTS,320,17:12:28,30/10/2025
197,A320,M,VAG639,VNA136,W1/Q1,ND,PAX,VVNB,VVDN,260,17:15:12,30/10/2025
198,A21N,M,VJC199,VNA546,W1/Q1,ND,PAX,VVNB,VVTS,320,17:17:35,30/10/2025
199,A20N,M,HVN187,VNA515,W1/Q1,ND,PAX,VVNB,VVDN,280,17:22:46,30/10/2025
200,A321,M,HVN1545,VNA614,W1/Q1,ND,PAX,VVNB,VVPB,260,17:24:48,30/10/2025
201,A321,M,VJC147,VNA522,W1/Q1,ND,PAX,VVNB,VVTS,320,17:28:24,30/10/2025
202,A321,M,HVN257,VNA605,W1/Q1,ND,PAX,VVNB,VVTS,320,17:34:14,30/10/2025
203,A321,M,VJC465,VNA673,W1/Q1,ND,PAX,VVNB,VVCT,300,17:38:02,30/10/2025
204,A321,M,HVN578,VNA608,R474,LD,PAX,VVNB,RCTP,330,17:41:15,30/10/2025
205,A21N,M,CAL794,B-18108,R474,LD,PAX,VVNB,RCTP,350,17:47:08,30/10/2025
206,B789,H,HVN273,VNA861,W1/Q1,ND,PAX,VVNB,VVTS,400,17:56:26,30/10/2025
207,B789,H,HVN217,VNA865,W1/Q1,ND,PAX,VVNB,VVTS,400,18:05:06,30/10/2025
208,A321,M,HVN843,VNA358,Q1/N639,LD,PAX,VVNB,VDSA,320,18:08:15,30/10/2025
209,A359,H,HVN259,VNA886,W1/Q1,ND,PAX,VVNB,VVTS,400,18:19:36,30/10/2025
210,A332,H,TUA698,EZ-F429,W21 ,LD,CAR,VVNB,UTAA,340,18:26:15,30/10/2025
211,A321,M,EVA386,B-16216,R474,LD,PAX,VVNB,RCTP,350,18:30:45,30/10/2025
212,A321,M,HVN586,VNA326,R474,LD,PAX,VVNB,RCKH,330,18:34:35,30/10/2025
213,A21N,M,SJX718,B-58205,R474,LD,PAX,VVNB,RCTP,350,18:38:15,30/10/2025
214,A321,M,PIC6071,VNA363,W1/Q1,ND,PAX,VVNB,VVDN,280,18:41:30,30/10/2025
215,A320,M,VJC445,VNA699,W1/Q1,ND,PAX,VVNB,VVPQ,360,18:44:03,30/10/2025
216,B78X,H,HVN973,VNA873,W21 ,LD,PAX,VVNB,VABB,380,18:46:21,30/10/2025
217,A321,M,VJC165,VNA667,W1/Q1,ND,PAX,VVNB,VVTS,320,18:48:27,30/10/2025
218,B38M,M,SIA193,9V-MBJ,W1/Q1,LD,PAX,VVNB,WSSS,320,18:51:17,30/10/2025
219,A21N,M,VJC779,VNA539,W1/Q1,ND,PAX,VVNB,VVCR,320,18:54:31,30/10/2025
220,A21N,M,VJC193,VNA537,W1/Q1,ND,PAX,VVNB,VVTS,320,19:03:05,30/10/2025
221,A321,M,HVN617,VNA356,R474,LD,PAX,VVNB,VTBS,340,19:08:07,30/10/2025
222,B744,H,CPA3246,B-LIA,R474,LD,CAR,VVNB,VHHH,290,19:13:08,30/10/2025
223,B789,H,QTR977,A7-BHE,W21 ,LD,PAX,VVNB,OTHH,360,19:18:01,30/10/2025
224,A320,M,VJC1925,VNA663,W21 ,LD,PAX,VVNB,VAAH,340,19:21:11,30/10/2025
225,A21N,M,HVN7213,VNA501,W1/Q1,ND,PAX,VVNB,VVTS,360,19:23:50,30/10/2025
226,A321,M,VJC517,VNA685,W1/Q1,ND,PAX,VVNB,VVDN,280,19:28:27,30/10/2025
227,A321,M,VJC1923,VNA532,W21 ,LD,PAX,VVNB,VAAH,320,19:32:25,30/10/2025
228,A321,M,HVN195,VNA398,W1/Q1,ND,PAX,VVNB,VVDN,280,19:35:17,30/10/2025
229,AT76,M,LAO314,RDPL-34228,R474,LD,PAX,VVNB,VLLB,180,19:37:21,30/10/2025
230,B78X,H,HVN219,VNA878,W1/Q1,ND,PAX,VVNB,VVTS,400,19:44:26,30/10/2025
231,A321,M,VJC173,VNA631,W1/Q1,ND,PAX,VVNB,VVTS,320,19:47:12,30/10/2025
232,A321,M,HVN983,VNA353,W21 ,LD,PAX,VVNB,VOBL,320,19:49:49,30/10/2025
233,A321,M,VJC569,VNA629,W1/Q1,ND,PAX,VVNB,VVPB,260,19:52:51,30/10/2025
234,A230,M,KHV851,XU-356,Q1/N639,LD,PAX,VVNB,VDTI,360,19:55:21,30/10/2025
235,A333,H,CAPA742,B-HLU,R474,LD,PAX,VVNB,VHHH,310,19:58:12,30/10/2025
236,A321,M,CCA756,B-8583,R474,LD,PAX,VVNB,ZSPD,310,20:01:12,30/10/2025
237,A21N,M,VJC163,VNA653,W1/Q1,ND,PAX,VVNB,VVTS,280,20:04:13,30/10/2025
238,A21N,M,VJC971,VNA543,W21,LD,PAX,VVNB,VIDP,340,20:06:58,30/10/2025
239,A321,M,HVN7211,VNA334,W1/Q1,ND,PAX,VVNB,VVTS,360,20:10:46,30/10/2025
240,A320,M,CSN8178,B-6252,R474,LD,PAX,VVNB,ZGGG,310,20:13:30,30/10/2025
241,B738,M,CSZ106,B-1710,R474,LD,PAX,VVNB,ZGSZ,310,20:17:07,30/10/2025
242,A321,M,VJC519,VNA644,W1/Q1,ND,PAX,VVNB,VVDN,320,20:19:37,30/10/2025
243,A320,M,VJC7712,VNA669,R474,LD,PAX,VVNB,ZBAD,310,20:22:53,30/10/2025
244,A359,H,HVN263,VNA899,W1/Q1,ND,PAX,VVNB,VVTS,430,20:25:41,30/10/2025
245,A20N,M,CSN8360,B-322F,R474,LD,PAX,VVNB,ZGHA,270,20:28:29,30/10/2025
246,A333,H,VJC155,VNA814,W1/Q1,ND,PAX,VVNB,VVTS,400,20:36:53,30/10/2025
247,A20N,M,HVN1549,VNA513,W1/Q1,ND,PAX,VVNB,VVPB,280,20:42:07,30/10/2025
248,B788,H,THA565,HS-TQF,W21,LD,PAX,VVNB,VTBS,380,20:45:21,30/10/2025
249,A321,M,BAV273,VNA227,W1/Q1,ND,PAX,VVNB,VVTS,320,20:51:42,30/10/2025
250,B78X,H,HVN265,VNA877,W1/Q1,ND,PAX,VVNB,VVTS,380,20:56:22,30/10/2025
